anime,date,score
俗・再见绝望先生,2008年1月5日,7.8
我的三体 罗辑传,2016年6月9日,7.8
古立特宇宙,2023年3月24日,7.8
剧场版 空之境界 第二章 杀人考察（前）,2007年12月29日,7.8
佐贺偶像是传奇,2018年10月4日,7.8
小马宝莉：友谊就是魔法 第四季,2013年11月23日,7.9
辉夜大小姐想让我告白～天才们的恋爱头脑战～,2019年1月12日,7.8
机动警察 东京毁灭战,1989年7月15日,7.8
神枪少女,2003年10月8日,7.8
狼与香辛料 第二季,2009年7月8日,7.8
剧场版 Fate/stay night [Heaven's Feel] II.lost butterfly,2019年1月12日,7.8
战斗妖精雪风,2002年8月25日,7.8
南方公园 第17季,2013年9月25日,7.9
剧场版 空之境界 未来福音,2013年9月28日,7.8
终将成为你,2018年10月5日,7.8
搞笑漫画日和3,2008年3月17日,7.8
草莓棉花糖,2005年7月14日,7.8
战国鬼才传,2011年4月7日,7.9
名侦探柯南 贝克街的亡灵,2002年4月20日,7.8
现视研2,2007年10月9日,7.8
摇曳露营△ 第三季,2024年4月4日,7.9
搞笑漫画日和2,2006年8月5日,7.8
街角魔族 2丁目,2022年4月7日,7.8
高智能方程式：SIN,1998年12月21日,7.8
精灵宝可梦,1997年4月1日,7.8
圣母在上 第4季,2009年1月3日,7.8
南方公园 第15季,2011年4月27日,7.9
少女与战车 最终章 第1话,2017年12月9日,7.8
×××HOLiC,2006年4月6日,7.8
三千里寻母记,1976年1月4日,8.1
夏娃的时间 剧场版,2010年3月6日,7.8
×××HOLiC 笼,2010年4月23日,7.8
【我推的孩子】Mother and Children,2023年3月17日,7.8
马男波杰克4,2017年9月8日,7.9
悠哉日常大王 Nonstop OAD,2022年3月23日,7.8
李献计历险记,2009-12-07,7.8
魔术师,2010年6月16日,7.9
再见绝望先生,2007年7月7日,7.8
命运石之门 负荷领域的既视感,2013年4月20日,7.8
美妙旋律 Rainbow Live,2013年4月6日,7.9
偶像大师 灰姑娘女孩 U149,2023年4月5日,7.8
夏娃的时间,2008年8月1日,7.8
水星领航员 The BENEDIZIONE,2021年12月3日,7.8
星界的纹章,1999年1月12日,7.8
第一神拳,2000年10月3日,7.9
向阳素描×蜂窝,2012年10月4日,7.8
热带雨林的爆笑生活,2001年4月3日,7.8
TIGER & BUNNY,2011年4月2日,7.8
苍穹之法芙娜 RIGHT OF LEFT,2005年12月29日,7.8
有顶天家族2,2017年4月9日,7.8
阿滋漫画大王,2002年4月8日,7.8
葫芦兄弟,1986年,7.8
希德尼娅的骑士,2014年4月10日,7.8
猎人 OVA2 贪婪大陆,2003年2月5日,7.8
女仆咖啡厅,2010年10月7日,7.8
忏・再见绝望先生,2009年7月4日,7.8
蓝宝石之谜,1990年4月13日,7.8
秀逗魔导士,1995年4月7日,7.8
跃动青春,2023年4月4日,7.8
魔女宅急便,1989年7月29日,7.8
迷宫饭,2024年1月4日,7.8
铳墓,2003年10月6日,7.8
幽游白书,1992年10月10日,7.8
现视研,2004年10月10日,7.8
